date,share_code,number_of_shares,domestic_cp_lt_5_raw,domestic_cp_gte_5_raw,domestic_fd_lt_5_raw,domestic_fd_gte_5_raw,domestic_ib_lt_5_raw,domestic_ib_gte_5_raw,domestic_id_lt_5_raw,domestic_id_gte_5_raw,domestic_is_lt_5_raw,domestic_is_gte_5_raw,domestic_mf_lt_5_raw,domestic_mf_gte_5_raw,domestic_ot_lt_5_raw,domestic_ot_gte_5_raw,domestic_pf_lt_5_raw,domestic_pf_gte_5_raw,domestic_sc_lt_5_raw,domestic_sc_gte_5_raw,foreign_cp_lt_5_raw,foreign_cp_gte_5_raw,foreign_fd_lt_5_raw,foreign_fd_gte_5_raw,foreign_ib_lt_5_raw,foreign_ib_gte_5_raw,foreign_id_lt_5_raw,foreign_id_gte_5_raw,foreign_is_lt_5_raw,foreign_is_gte_5_raw,foreign_mf_lt_5_raw,foreign_mf_gte_5_raw,foreign_ot_lt_5_raw,foreign_ot_gte_5_raw,foreign_pf_lt_5_raw,foreign_pf_gte_5_raw,foreign_sc_lt_5_raw,foreign_sc_gte_5_raw,total_scripless_raw
31-Mar-2026,ASMI,8.958.380.460,2.000.036.900,0,,,,,4.159.554.910,0,9.270.200,2.684.208.800,431.000,0,6.920.800,0,,,41.941.450,0,,,,,800,0,26.472.200,0,,,,,27.106.200,0,,,2.437.200,0,8.958.380.460
31-Mar-2026,ASPI,683.810.725,8.696.300,349.995.000,,,,,322.387.125,0,,,,,,,,,,,,,,,1.328.200,0,1.399.000,0,,,,,,,,,100,0,683.805.725
31-Mar-2026,ASPR,2.712.000.000,3.400.100,0,,,,,357.911.500,0,,,,,,,,,1.317.500,0,736.500,0,,,26.989.800,0,421.644.600,0,,,,,,,,,,,812.000.000
31-Mar-2026,ASRI,19.649.411.888,3.365.347.996,6.591.763.564,1.045.000,0,,,3.340.899.964,0,136.416.700,0,315.944.999,0,250.100,0,66.823.000,0,939.846.213,1.312.524.300,36.901.870,0,,,298.305.965,0,15.024.300,0,,,136.753.033,0,33.418.533,0,11.015.000,0,64.681.351,0,16.666.961.888
31-Mar-2026,ASRM,1.277.992.036,5.071.682,135.030.147,567,0,,,80.005.728,0,63.894,0,,,20.447.956,0,,,1.216.909,0,20.374,0,,,62.232,0,193.473,0,,,,,,,,,9.090.674,0,251.203.636
31-Mar-2026,ASSA,3.691.137.517,301.776.277,1.503.351.100,3.644.229,0,,,943.801.661,342.568.300,19.771.000,0,56.060.091,0,100,0,18.232.373,0,8.957.342,0,15.516.877,0,,,120.524.669,0,2.267.583,0,,,135.358.100,0,95.136.000,0,14.926.600,0,109.245.215,0,3.691.137.517
31-Mar-2026,ATAP,1.250.000.000,9.719.433,0,,,,,236.219.967,0,,,,,,,,,,,163.900,0,,,3.331.600,0,374.700,0,,,,,,,,,190.400,0,250.000.000
31-Mar-2026,ATIC,2.315.361.355,175.906.783,662.387.435,,,,,216.363.948,238.741.323,,,,,,,,,45,0,0,863.645.841,,,490.000,0,179.100,0,,,,,,,169.900,0,25.000,0,2.157.909.375
31-Mar-2026,ATLA,6.199.577.693,4.589.200,0,905,0,,,2.246.412.293,3.854.129.200,,,,,2.000.000,0,,,95,0,,,,,63.043.500,0,18.206.100,0,,,,,,,,,11.196.400,0,6.199.577.693
31-Mar-2026,ATPK,5.760.245.414,3.695.100,320.000.000,,,,,250.129.894,0,334.100,0,,,7.733.000,0,18.900,0,12.600,0,1.509.500,0,,,53.836.500,0,1.161.500,0,,,,,88.321.629,0,3.400.000,0,163.047.807,359.264.500,1.252.465.030
31-Mar-2026,AUTO,4.819.733.000,56.825.787,0,3.163.500,0,,,227.479.912,0,77.188.100,0,53.305.860,0,75,0,4.281.775,0,22.250.839,0,244.964.128,0,,,83.096.962,0,1.092.275,0,,,96.235.039,0,50.841.406,0,18.217.092,0,23.761.693,0,962.704.443
31-Mar-2026,AVIA,61.953.555.600,4.300.927.600,20.129.652.900,11.703.900,0,,,841.868.772,0,116.111.900,0,236.881.685,0,960.600,0,38.430.500,0,7.742.578,0,1.962.211.191,3.902.748.900,,,927.355.028,0,1.661.300,0,18.320.900,0,3.489.774.451,0,470.918.221,0,380.186.469,0,11.565.505,0,36.849.022.400
31-Mar-2026,AWAN,3.435.000.000,6.747.100,2.632.039.615,,,,,348.522.985,0,,,,,,,,,,,2.710.800,0,,,15.127.300,0,2.669.000,0,,,0,400.000.000,,,,,27.183.200,0,3.435.000.000
31-Mar-2026,AXIO,5.840.126.500,642.414.000,500.965.800,,,,,544.605.300,0,,,,,,,,,,,,,,,1.475.200,0,666.200,0,,,,,,,,,,,1.690.126.500
31-Mar-2026,AYAM,4.000.000.000,77.490.400,0,303.600,0,,,734.847.000,3.061.926.000,,,657.000,0,,,,,,,,,,,58.281.100,0,1.392.400,0,,,,,,,,,1.102.500,0,3.936.000.000
31-Mar-2026,AYLS,853.423.236,3.148.200,594.720.000,,,,,141.454.247,0,,,,,,,,,,,,,,,530.800,0,101.128.289,0,,,,,,,,,12.441.700,0,853.423.236
31-Mar-2026,BABP,44.458.997.354,17.281.100,27.965.975.776,3.911.395,0,76,0,4.965.093.646,0,117.046.900,0,94.490.200,0,24,0,5.725.000,0,4.627.581,0,21.450.022,10.423.122.655,,,106.932.300,0,203.331.450,0,,,,,39.354.700,0,,,45.990.301,0,44.014.333.126
